name,union,gruene,spd,linke,afd,fdp,bsw
Regensburg,35.68,13.35,11.13,6.98,18.76,3.5,2.94
Schwandorf,39.26,4.97,9.27,3.28,28.17,2.67,2.46
Weiden,40.4,5.81,11.68,3.94,24.29,3.06,2.58
Bamberg,37,12.56,11.32,6.52,19.33,3.93,2.94
Bayreuth,38.5,9.84,12.27,5.69,19.96,3.73,2.97
Coburg,37.18,7.48,14.34,5.43,22.22,3.22,3.36
Hof,37.96,6.05,13.5,5.31,24.27,3.12,3.58
Kulmbach,40.26,7.21,10.86,4.4,23.38,3.23,2.97
Ansbach,37.28,9.46,12.11,4.99,21.5,3.38,3.61
Erlangen,33.74,18.01,13.87,7.14,14.53,4.26,2.94
Fürth,34.38,12.44,14.16,6.79,18.84,3.9,3.55
Nürnberg-Nord,27.25,19.69,15.63,12.76,12.14,4.33,3.73
Nürnberg-Süd,32.25,11.21,15.29,8.58,19.76,3.58,4.44
Roth,37.76,12.15,13.39,5.41,18.03,3.81,2.98
Aschaffenburg,38.04,11.16,12.74,6,19.03,4.42,3.22
Bad Kissingen,41.76,7.41,9.66,4.58,23.02,3.59,2.92
Main-Spessart,41.07,8.91,12.45,4.89,19.35,3.57,3.15
Schweinfurt,39.4,9.11,11.49,5.2,21.13,3.58,3.25
Würzburg,35.73,16.37,13.49,8.15,13.53,4.43,2.77
Augsburg-Stadt,28.41,16.48,13.41,10.55,17.5,4.12,3.95
Augsburg-Land,39.73,10.98,10.69,4.8,19.42,3.99,2.94
Donau-Ries,41.24,7.28,9.35,3.84,22.63,3.73,3.04
Neu-Ulm,37.04,8.95,10.75,5.24,23.22,4.13,3.69
Memmingen – Unterallgäu,39.1,8.34,9.05,4.43,23.4,4.12,3.03
Oberallgäu,37.98,12.36,10.53,5.24,17.51,4.3,3.29
Ostallgäu,40.1,10.02,9.36,4.74,20.11,3.82,3.14
Stuttgart I,26.17,25.24,14.96,10.84,8.92,7.27,3.27
Stuttgart II,26.78,17.43,16.24,10.86,14.38,5.82,4.83
Böblingen,33.21,13.95,14.4,5.96,17.53,7.02,4.02
Esslingen,32.52,14.99,15.51,7.16,16.07,5.74,3.86
Nürtingen,33.69,13.57,14.13,5.77,18,6.67,3.74
Göppingen,33.47,9.4,14.36,5.45,23.27,5.54,4.29
Waiblingen,33.33,12.76,14.66,5.83,18.59,6.78,3.82
Ludwigsburg,32.04,14.88,15.11,6.87,16.88,6.4,3.96
Neckar-Zaber,33.14,12.12,14.45,5.33,20.32,6.31,3.81
Heilbronn,29.43,9.46,14.33,6.16,25.45,6.22,4.34
Schwäbisch Hall – Hohenlohe,31.79,9.77,13.21,5.32,25.09,5.72,4.32
Backnang – Schwäbisch Gmünd,32.58,10.66,13.84,5.78,23.27,5.39,4.32
Aalen – Heidenheim,34.68,9.37,14.08,5.4,23.04,4.87,4.41
Karlsruhe-Stadt,22.43,24.08,15.59,11.2,13.51,5.16,3.72
Karlsruhe-Land,33.14,13.33,15.03,5.58,19.04,5.54,3.84
Rastatt,33.36,10.85,14.46,5.36,22.57,4.93,4.06
Heidelberg,26.27,21.86,16.99,10.14,12.07,5.67,3.44
Mannheim,23.13,16.01,18.18,11.3,17.56,5.15,4.68
Odenwald – Tauber,36.37,8.39,13.25,4.89,23.57,4.79,4.17
Rhein-Neckar,31.09,12.3,15.69,6.25,20.67,5.64,4.02
Bruchsal – Schwetzingen,32.11,10.93,14.35,5.75,22.42,5.24,4.35
